raw_col_name,col_name,question_text,qualtrics_imoport_id,data_type,recode_values,allow_televisibility,allow_harm,no_allow_televisibility,no_allow_harm
HT-A7,high_low_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID79""}",boolean,"{'Yes':1, 'No':2}",high,low,low,high
HT-A8,high_low_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID80""}",boolean,"{'Yes':1, 'No':2}",high,low,med,high
HT-A9,high_low_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID81""}",boolean,"{'Yes':1, 'No':2}",high,low,high,high
HT-A10,high_med_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID82""}",boolean,"{'Yes':1, 'No':2}",high,med,low,low
HT-A11,high_med_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID83""}",boolean,"{'Yes':1, 'No':2}",high,med,med,low
HT-A12,high_med_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID84""}",boolean,"{'Yes':1, 'No':2}",high,med,high,low
HT-A13,high_med_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID85""}",boolean,"{'Yes':1, 'No':2}",high,med,low,med
HT-A14,high_med_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID86""}",boolean,"{'Yes':1, 'No':2}",high,med,med,med
HT-A15,high_med_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID87""}",boolean,"{'Yes':1, 'No':2}",high,med,high,med
HT-A16,high_med_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID88""}",boolean,"{'Yes':1, 'No':2}",high,med,low,high
HT-A17,high_med_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID89""}",boolean,"{'Yes':1, 'No':2}",high,med,med,high
HT-A18,high_med_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID90""}",boolean,"{'Yes':1, 'No':2}",high,med,high,high
HT-A19,high_high_low_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID91""}",boolean,"{'Yes':1, 'No':2}",high,high,low,low
HT-A20,high_high_med_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID92""}",boolean,"{'Yes':1, 'No':2}",high,high,med,low
HT-A21,high_high_high_low,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID93""}",boolean,"{'Yes':1, 'No':2}",high,high,high,low
HT-A22,high_high_low_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID94""}",boolean,"{'Yes':1, 'No':2}",high,high,low,med
HT-A23,high_high_med_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID95""}",boolean,"{'Yes':1, 'No':2}",high,high,med,med
HT-A24,high_high_high_med,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID96""}",boolean,"{'Yes':1, 'No':2}",high,high,high,med
HT-A25,high_high_low_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID97""}",boolean,"{'Yes':1, 'No':2}",high,high,low,high
HT-A26,high_high_med_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID98""}",boolean,"{'Yes':1, 'No':2}",high,high,med,high
HT-A27,high_high_high_high,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","{""ImportId"":""QID99""}",boolean,"{'Yes':1, 'No':2}",high,high,high,high
F1,strategy_used,Did you use any particular strategy when making the previous decisions?,"{""ImportId"":""QID112_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
F2,experience_televisibility,"What is your experience with the term ""televisibility""?","{""ImportId"":""QID100_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
F3,experience_clients_harm,What is your experience with allowing clients to engage in potentially harmful behavior if it aligns with their preferences in some way?,"{""ImportId"":""QID101_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
F4,feedback,Do you have any other feedback for the researchers?,"{""ImportId"":""QID113""}",str,N/A,N/A,N/A,N/A,N/A
F6,name,Name:,"{""ImportId"":""QID105_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
F7,email,Email address:,"{""ImportId"":""QID106_TEXT""}",str,N/A,N/A,N/A,N/A,N/A
